date,pm2.5,aluminum,ammonium_ion,arsenic,barium,bromine,calcium,chlorine,chromium,copper,elemental_carbon,iron,lead,manganese,nickel,organic_carbon,om,potassium_ion,selenium,silicon,sodium_ion,sulfate,titanium,total_nitrate,vanadium,zinc
2001-04-19,8.9,0.0385,1.685,0.0019,0.0445,0.00483,0.053,0.0075,0.0013,0.00553,0.547,0.119,0.00445,0.00175,0.00095,3.18,4.452,0.0572,0.0017,0.141,0.0881,3.76,0.00548,1.27,0.0019,0.0338
2001-04-22,22.5,0.387,1.95,0.0019,0.0445,0.00671,0.229,0.0075,0.0013,0.00264,0.372,0.487,0.00445,0.00936,0.00232,6.41,8.974,0.0783,0.0017,1.02,0.32,6.27,0.0335,1.54,0.00417,0.0158
2001-04-25,7.6,0.0125,1.0,0.0019,0.0445,0.0016,0.0311,0.0075,0.0013,0.0013,0.32,0.0662,0.00445,0.00175,0.00095,2.92,4.088,0.0259,0.0017,0.0694,0.0322,2.52,0.00265,1.42,0.0019,0.00529
2001-04-28,8.3,0.0125,1.15,0.0019,0.0445,0.00407,0.0572,0.0075,0.0013,0.0013,0.296,0.0869,0.00445,0.00175,0.00095,3.49,4.886,0.03,0.0017,0.164,0.0409,2.64,0.00791,1.25,0.0019,0.0064
2001-05-01,20.1,0.0487,1.685,0.0019,0.0445,0.00815,0.143,0.0075,0.0013,0.00663,1.31,0.41,0.0177,0.0115,0.00365,7.44,10.416,0.0572,0.0017,0.278,0.0881,3.76,0.0355,1.27,0.00739,0.076
2001-05-07,5.5,0.00419,1.685,0.00098,0.0068,0.00367,0.03575,0.002635,0.00052,0.002815,0.645,0.0815,0.00432,0.00198,0.00128,4.22,5.908,0.0572,0.00137,0.05225,0.0881,3.76,0.00365,1.27,0.00233,0.01335
2001-05-10,21.2,0.0529,3.46,0.0019,0.0445,0.00464,0.114,0.0075,0.0013,0.00357,0.779,0.193,0.00445,0.00454,0.00095,5.03,7.042,0.0547,0.0017,0.354,0.214,8.75,0.0238,1.72,0.0019,0.0208
2001-05-13,7.0,0.0125,1.05,0.0019,0.0445,0.0016,0.0504,0.0075,0.0013,0.0013,0.125,0.0541,0.00445,0.00175,0.00095,2.43,3.402,0.0615,0.0017,0.116,0.0425,2.72,0.00578,0.531,0.0019,0.00385
2001-05-16,6.3,0.0291,0.697,0.0019,0.0445,0.0016,0.0483,0.0075,0.0013,0.0013,0.347,0.0725,0.00445,0.00175,0.00095,2.58,3.612,0.0676,0.0017,0.138,0.126,1.82,0.00659,0.736,0.0019,0.00827
2001-05-19,24.6,0.0125,5.01,0.0042,0.0445,0.00501,0.0531,0.0075,0.0033,0.00378,0.399,0.176,0.00445,0.00482,0.0043,5.33,7.462,0.186,0.00363,0.129,0.298,10.9,0.0161,5.97,0.00569,0.0386
2001-05-22,10.1,0.0125,2.04,0.0019,0.0445,0.0016,0.0203,0.0075,0.0013,0.0013,0.483,0.0544,0.00445,0.00175,0.00095,3.0,4.2,0.0719,0.0017,0.0347,0.187,4.49,0.00265,2.73,0.0019,0.0116
2001-05-25,14.0,0.0125,2.86,0.0019,0.0445,0.0016,0.0164,0.0075,0.0013,0.0013,0.125,0.0297,0.00445,0.00175,0.00095,3.16,4.424,0.0397,0.0017,0.0518,0.178,6.37,0.00265,3.57,0.0019,0.00175
2001-05-31,5.3,0.0306,0.308,0.0019,0.0445,0.0016,0.101,0.0075,0.0013,0.00282,0.518,0.0968,0.00445,0.00175,0.00095,2.69,3.766,0.0432,0.0017,0.124,0.04,0.969,0.0057,0.318,0.0019,0.00589
2001-06-03,9.9,0.0125,1.66,0.0019,0.0445,0.0016,0.0144,0.0075,0.0013,0.0013,0.125,0.0482,0.00445,0.00175,0.00095,2.49,3.486,0.0426,0.0017,0.0307,0.0911,4.69,0.00265,0.905,0.0019,0.00455
2001-06-06,13.5,0.0125,3.68,0.0019,0.0445,0.00525,0.0434,0.0075,0.0013,0.00425,1.13,0.0969,0.00445,0.00175,0.00095,5.15,7.21,0.0477,0.0017,0.0877,0.102,9.47,0.00616,1.82,0.0019,0.0198
2001-06-09,14.5,0.0125,1.42,0.0019,0.0445,0.0016,0.112,0.0075,0.0013,0.00408,0.834,0.149,0.00445,0.00175,0.00095,5.44,7.616,0.0494,0.0017,0.108,0.0581,3.95,0.00711,0.481,0.0019,0.0174
2001-06-12,40.2,0.0125,6.02,0.0019,0.0445,0.00604,0.0736,0.0075,0.0013,0.00694,0.964,0.285,0.00445,0.00613,0.00295,7.22,10.108,0.0735,0.00409,0.132,0.0827,18.2,0.00994,1.1,0.0019,0.0779
2001-06-18,19.5,0.0125,2.56,0.0019,0.0445,0.00496,0.0699,0.0075,0.0013,0.0013,0.477,0.107,0.00445,0.00175,0.00095,5.18,7.252,0.0531,0.0017,0.0609,0.0879,7.77,0.00658,0.486,0.0019,0.0214
2001-06-21,13.5,0.00419,4.19,0.00098,0.0068,0.00367,0.03575,0.002635,0.00052,0.002815,0.678,0.0815,0.00432,0.00198,0.00128,5.34,7.476,0.0585,0.00137,0.05225,0.121,12.9,0.00365,1.53,0.00233,0.01335
2001-06-24,8.4,0.0125,0.845,0.0019,0.0445,0.0016,0.0106,0.0075,0.0013,0.00565,0.545,0.0401,0.00445,0.00175,0.00095,3.16,4.424,0.0291,0.0017,0.022,0.0399,2.85,0.00265,0.233,0.0019,0.0035
2001-06-27,34.5,0.0125,4.36,0.0019,0.0445,0.00667,0.0475,0.0075,0.0013,0.003,0.751,0.138,0.00445,0.00175,0.00371,9.19,12.866,0.0645,0.0017,0.101,0.113,13.1,0.00724,1.22,0.00724,0.0393
2001-06-30,35.9,0.0125,5.08,0.0019,0.0445,0.00681,0.0669,0.0075,0.0013,0.00403,0.553,0.117,0.00445,0.00446,0.00259,8.18,11.452,0.0857,0.0017,0.137,0.145,15.0,0.0356,1.84,0.00384,0.0149
2001-07-03,15.2,0.0125,1.51,0.0019,0.0445,0.00384,0.0405,0.0075,0.0013,0.0013,1.01,0.0942,0.00445,0.00175,0.00095,4.61,6.454,0.0654,0.0123,0.0742,0.06,4.98,0.0108,0.645,0.0019,0.0107
2001-07-06,5.6,0.0125,0.222,0.0019,0.0445,0.0016,0.0465,0.0075,0.0013,0.00312,0.413,0.0574,0.00445,0.00175,0.00095,3.23,4.522,0.0541,0.0017,0.0331,0.0446,1.14,0.00265,0.302,0.0019,0.00442
2001-07-12,12.1,0.0125,1.97,0.0019,0.0445,0.0016,0.0596,0.0075,0.0013,0.0013,0.411,0.0602,0.00445,0.00175,0.00095,3.11,4.354,0.0315,0.0017,0.0551,0.015,5.84,0.00265,0.195,0.0019,0.011
2001-07-15,13.2,0.0125,1.31,0.0019,0.0445,0.0016,0.0369,0.0075,0.0013,0.0013,0.29,0.0461,0.00445,0.00175,0.00095,3.83,5.362,0.0404,0.0017,0.0473,0.044,3.88,0.00265,0.257,0.0019,0.016
2001-07-18,30.7,0.0125,5.11,0.0019,0.0445,0.00492,0.0373,0.0075,0.0013,0.0013,0.724,0.0654,0.00445,0.00175,0.00095,9.24,12.936,0.056,0.0017,0.0805,0.4,14.1,0.00265,2.94,0.0019,0.0107
