date,pm2.5,aluminum,ammonium_ion,arsenic,barium,bromine,calcium,chlorine,chromium,copper,elemental_carbon,iron,lead,manganese,nickel,organic_carbon,om,potassium_ion,selenium,silicon,sodium_ion,sulfate,titanium,total_nitrate,vanadium,zinc
2001-04-13,1.36,0.027183,0.078898,0.003167,0.074167,0.001185,0.019688,0.0125,0.002167,0.001845,0.124199,0.015629,0.007417,0.00212,0.001266,0.509398,0.713157,0.021629,0.002833,0.026338,0.114158,0.192646,0.003192,0.082933,0.001764,0.002585
2001-04-16,1.02,0.01676,6.74,0.00392,0.0272,0.01468,0.143,0.01054,0.00208,0.01126,2.58,0.326,0.01728,0.00792,0.00512,16.88,23.632,0.2288,0.00548,0.209,0.3524,15.04,0.0146,5.08,0.00932,0.0534
2001-04-19,0.89,0.026447,6.74,0.003167,0.074167,0.001196,0.012593,0.0125,0.002167,0.001701,0.110475,0.012584,0.007417,0.002917,0.001583,0.34882,0.488348,0.2288,0.002833,0.023217,0.3524,15.04,0.002744,5.08,0.003167,0.002674
2001-04-22,2.25,0.194348,0.110412,0.003167,0.074167,0.001246,0.032606,0.0125,0.002167,0.001589,0.106849,0.031003,0.007417,0.002371,0.001274,0.619782,0.867695,0.021438,0.002833,0.103654,0.111842,0.271365,0.006104,0.086002,0.001716,0.002218
2001-04-25,0.76,0.020833,0.072004,0.003167,0.074167,0.002667,0.011181,0.0125,0.002167,0.002167,0.10602,0.011098,0.007417,0.002917,0.001583,0.331647,0.464306,0.020805,0.002833,0.019708,0.028125,0.144565,0.004417,0.084123,0.003167,0.002089
2001-04-28,0.83,0.020833,0.077401,0.003167,0.074167,0.00118,0.012923,0.0125,0.002167,0.002167,0.105678,0.0116,0.007417,0.002917,0.001583,0.370738,0.519034,0.020832,0.002833,0.024682,0.029403,0.147952,0.002901,0.081659,0.003167,0.002097
2001-05-01,2.01,0.030361,6.74,0.003167,0.074167,0.001293,0.02191,0.0125,0.002167,0.001762,0.138374,0.026694,0.003418,0.002509,0.001318,0.716571,1.003199,0.2288,0.002833,0.033363,0.3524,15.04,0.006405,5.08,0.002106,0.004328
2001-05-07,0.55,0.01676,6.74,0.00392,0.0272,0.01468,0.143,0.01054,0.00208,0.01126,2.58,0.326,0.01728,0.00792,0.00512,16.88,23.632,0.2288,0.00548,0.209,0.3524,15.04,0.0146,5.08,0.00932,0.0534
2001-05-10,2.12,0.03207,0.180592,0.003167,0.074167,0.001192,0.018554,0.0125,0.002167,0.001617,0.117099,0.01554,0.007417,0.002146,0.001583,0.495415,0.693581,0.021076,0.002833,0.039917,0.077235,0.365019,0.004705,0.089019,0.003167,0.002319
2001-05-13,0.7,0.020833,0.073762,0.003167,0.074167,0.002667,0.012397,0.0125,0.002167,0.002167,0.208333,0.010859,0.007417,0.002917,0.001583,0.302969,0.424156,0.021168,0.002833,0.02179,0.029664,0.150253,0.002761,0.074267,0.003167,0.002081
2001-05-16,0.63,0.02325,0.062443,0.003167,0.074167,0.002667,0.012243,0.0125,0.002167,0.002167,0.106436,0.011239,0.007417,0.002917,0.001583,0.311176,0.435647,0.021259,0.002833,0.023036,0.050064,0.126643,0.00281,0.075825,0.003167,0.002113
2001-05-19,2.46,0.020833,0.255802,0.002021,0.074167,0.0012,0.012601,0.0125,0.002353,0.001625,0.107325,0.014795,0.007417,0.002156,0.001346,0.521743,0.730441,0.024476,0.001265,0.022509,0.10458,0.448146,0.003711,0.193232,0.001883,0.002832
2001-05-22,1.01,0.020833,0.114406,0.003167,0.074167,0.002667,0.010719,0.0125,0.002167,0.002167,0.109003,0.010865,0.007417,0.002917,0.001583,0.336802,0.471523,0.021328,0.002833,0.018769,0.068655,0.207352,0.004417,0.109405,0.003167,0.002152
2001-05-25,1.4,0.020833,0.152097,0.003167,0.074167,0.002667,0.010597,0.0125,0.002167,0.002167,0.208333,0.010515,0.007417,0.002917,0.001583,0.347457,0.48644,0.020911,0.002833,0.019159,0.065832,0.275067,0.004417,0.129353,0.003167,0.002917
