city,date,y,fitted,residual
St. Louis,2001-06-23,3.178054,3.2398085208883685,-0.06175452088836846
St. Louis,2001-06-23,3.020425,3.2190317108555537,-0.19860671085555376
St. Louis,2001-06-23,3.063391,3.2729028454275007,-0.20951184542750065
St. Louis,2001-06-23,2.985682,3.2860261775768995,-0.3003441775768995
St. Louis,2001-06-23,2.933857,3.316893770566466,-0.38303677056646573
St. Louis,2001-06-23,2.928524,3.274706755132007,-0.34618275513200714
St. Louis,2001-06-23,2.970414,3.338593559632337,-0.36817955963233684
St. Louis,2001-06-23,3.095578,3.264102832570339,-0.1685248325703391
St. Louis,2001-06-23,3.178054,3.3286053938366,-0.15055139383659974
St. Louis,2001-06-23,3.303217,3.409567672008938,-0.1063506720089378
St. Louis,2001-06-23,3.561046,3.3664329876579147,0.19461301234208547
St. Louis,2001-06-23,3.367296,3.4056348424919345,-0.03833884249193453
St. Louis,2001-06-23,3.391147,3.304692560448563,0.08645443955143735
St. Louis,2001-06-23,3.610918,3.868396368061901,-0.25747836806190144
St. Louis,2001-06-23,3.414443,3.702901242045142,-0.2884582420451419
St. Louis,2001-06-23,3.532226,3.590760874423967,-0.05853487442396686
St. Louis,2001-06-23,3.610918,3.565749423864521,0.04516857613547895
St. Louis,2001-06-23,3.594569,3.5569470437416633,0.03762195625833669
St. Louis,2001-06-24,3.648057,3.661087050253567,-0.013030050253566681
St. Louis,2001-06-24,3.747148,3.573776624816811,0.17337137518318937
St. Louis,2001-06-24,3.837299,3.6549950003079705,0.18230399969202934
St. Louis,2001-06-24,3.808882,3.725191026725238,0.08369097327476191
St. Louis,2001-06-24,3.756538,3.965213378969244,-0.20867537896924415
St. Louis,2001-06-24,3.701302,3.6976924879344573,0.0036095120655428923
St. Louis,2001-06-24,3.7612,3.748853718249608,0.012346281750392265
St. Louis,2001-06-24,3.538057,3.5738969696227576,-0.03583996962275762
St. Louis,2001-06-24,3.202746,3.3657664013937123,-0.16302040139371224
St. Louis,2001-06-24,3.258097,3.4928198064996177,-0.23472280649961788
St. Louis,2001-06-24,3.321432,3.4426238677460845,-0.1211918677460845
St. Louis,2001-06-24,3.254243,3.4941285431570672,-0.23988554315706717
St. Louis,2001-06-24,3.449988,3.5175408821328045,-0.0675528821328047
St. Louis,2001-06-24,3.38439,3.5300445732909713,-0.14565457329097137
St. Louis,2001-06-24,3.254243,3.1542683419372315,0.09997465806276871
St. Louis,2001-06-24,3.288402,3.363149341498871,-0.07474734149887106
St. Louis,2001-06-24,3.246491,3.315621947978142,-0.06913094797814223
St. Louis,2001-06-24,3.314186,3.3441587343409576,-0.02997273434095759
St. Louis,2001-06-24,3.443618,3.5690973745454375,-0.12547937454543748
St. Louis,2001-06-24,3.508556,3.567462646571997,-0.05890664657199739
St. Louis,2001-06-24,3.558201,3.520064195222931,0.03813680477706911
St. Louis,2001-06-25,3.666122,3.6091667227393156,0.05695527726068464
St. Louis,2001-06-25,3.569533,3.579854080968954,-0.010321080968954049
St. Louis,2001-06-25,3.613617,3.479203997397106,0.1344130026028943
St. Louis,2001-06-25,3.523415,3.455520550361375,0.06789444963862486
St. Louis,2001-06-25,3.701302,3.678235072437894,0.023066927562106487
St. Louis,2001-06-26,3.517498,3.372206832053827,0.14529116794617278
St. Louis,2001-06-26,3.802208,3.683386487333033,0.11882151266696668
St. Louis,2001-06-26,3.822098,3.56314183145465,0.25895616854534986
St. Louis,2001-06-26,3.751854,3.7312805922634644,0.02057340773653548
St. Louis,2001-06-26,3.660994,3.796750231662544,-0.135756231662544
St. Louis,2001-06-26,3.449988,3.581127742905274,-0.13113974290527422
St. Louis,2001-06-26,3.370738,3.2146189610855953,0.15611903891440468
St. Louis,2001-06-26,3.186353,3.3980546148358375,-0.21170161483583763
St. Louis,2001-06-26,3.277145,3.387054105318224,-0.10990910531822377
St. Louis,2001-06-26,3.328627,3.3959578362800773,-0.06733083628007723
St. Louis,2001-06-26,3.417727,3.472469613203657,-0.05474261320365662
St. Louis,2001-06-26,3.499533,3.4959295363889398,0.0036034636110602847
St. Louis,2001-06-26,3.414443,3.430943402885594,-0.01650040288559416
St. Louis,2001-06-26,3.303217,3.3455002736569233,-0.0422832736569234
St. Louis,2001-06-26,3.250374,3.3195038772074272,-0.06912987720742743
St. Louis,2001-06-26,3.325036,3.448724488873358,-0.12368848887335838
St. Louis,2001-06-26,3.437208,3.516507258287168,-0.07929925828716783
St. Louis,2001-06-26,3.624341,3.6414349263564585,-0.017093926356458847
St. Louis,2001-06-26,3.555348,3.5814252426304787,-0.026077242630478784
St. Louis,2001-06-26,3.414443,3.47685398207569,-0.062410982075690055
St. Louis,2001-06-26,3.360375,3.3939265106497865,-0.03355151064978668
St. Louis,2001-06-26,3.38439,3.410889111641857,-0.02649911164185719
St. Louis,2001-06-26,3.148453,3.387996468985739,-0.2395434689857391
St. Louis,2001-06-26,3.273364,3.229526556858289,0.04383744314171099
St. Louis,2001-06-27,2.879198,3.1648233895192894,-0.28562538951928923
St. Louis,2001-06-27,3.325036,3.2525420584657865,0.07249394153421361
St. Louis,2001-06-27,2.928524,3.152144910005074,-0.22362091000507386
St. Louis,2001-06-27,2.844909,3.0909058018672644,-0.2459968018672644
St. Louis,2001-06-27,3.058707,3.1034174568315933,-0.04471045683159321
St. Louis,2001-06-27,2.95491,3.133372281619013,-0.1784622816190131
St. Louis,2001-06-27,2.867899,3.1418215162341285,-0.2739225162341285
St. Louis,2001-06-27,3.020425,3.128511088783804,-0.10808608878380382
St. Louis,2001-06-27,3.039749,3.1168616974454455,-0.07711269744544551
